model,Split,MAE,MSE,RMSE,R2,Pearson,Spearman
XGBoost_bind,Test,0.5491721340638893,0.6702832131395372,0.8187082588685284,0.6414446651431575,0.8009494381371063,0.7345448148077094
GBM_bind,Test,0.7315181349848322,1.0217458318497015,1.0108144398699999,0.45343638077776705,0.6860239393940344,0.633378945347005
Random_Forest_bind,Test,0.9501741239773736,1.9521902995620581,1.39720803732374,-0.04428729952101085,0.18958076494071868,0.19694548611926338
Linear_Regression_bind,Test,1.22050954688169,1.9685632541722942,1.4030549718996381,-0.05304570210037984,0.2518043708550077,0.22452203215610556
SVR_bind,Test,1.2297798020116306,1.9749604074459166,1.405332845786334,-0.05646773832206997,0.3872570563327351,0.40051140385661205
MLP_bind,Test,3.180182746155938,11.933494853194617,3.454489087143657,-5.383597499119903,0.16134230768770763,0.13041176226034062
XGBoost_bind,Train,0.3536824050156119,0.26579171564199977,0.5155499157618006,0.8596408417585542,0.9302453795499938,0.8622285182870412
GBM_bind,Train,0.7170689384307067,0.9773172610960152,0.9885935773087013,0.48389878228170036,0.7131617880838903,0.6638574362849811
Random_Forest_bind,Train,0.9625134910564117,1.9816986631477733,1.4077281922117542,-0.04649445365808691,0.17447782033958129,0.18580215721896978
Linear_Regression_bind,Train,1.2188605325931678,1.979306236975306,1.4068781883927641,-0.045231062423671586,0.27020434143062944,0.2362681571081535
SVR_bind,Train,1.2226480552758288,1.9819284338269152,1.4078098003021982,-0.0466157908451208,0.412582939998672,0.41640228469359364
MLP_bind,Train,3.17393210911808,11.86935382431396,3.44519285734688,-5.267962519548676,0.2280340515616589,0.1872784704871374
XGBoost_bind,Validation,0.5497389157566392,0.677692906669526,0.823221055773919,0.6451527800240251,0.8032653196605597,0.7496072063972014
GBM_bind,Validation,0.7306581540768589,1.0230793646860155,1.0114738576384539,0.46430475396630855,0.6971714922262295,0.656003837015927
Random_Forest_bind,Validation,0.9643045010823486,2.000261481152916,1.4143060068998208,-0.047358204323455944,0.172208460713511,0.19510097701464604
SVR_bind,Validation,1.2267847504646632,1.9933507643441317,1.4118607453797034,-0.043739679437767576,0.41135113884710905,0.40602205345625636
Linear_Regression_bind,Validation,1.2302251733475285,2.016121865914864,1.4199020620855736,-0.0556628706186737,0.24161313535625334,0.20074233269134759
MLP_bind,Validation,3.175620685181765,11.93132694434341,3.4541752914904897,-5.2473697970831745,0.1766494276497688,0.1451588135806546
